row,issue,div_id,neigh_jaccard
789,issue_1,bloy_texto_citado,0.0
790,issue_1,bloy_texto_citado,0.0
792,issue_1,bloy_texto_citado,0.0
793,issue_1,bloy_texto_citado,0.0
795,issue_1,bloy_texto_citado,0.0
796,issue_1,bloy_texto_citado,0.0
798,issue_1,bloy_texto_citado,0.0
800,issue_1,bloy_texto_citado,0.0
801,issue_1,bloy_texto_citado,0.0
802,issue_1,bloy_texto_citado,0.0
806,issue_1,bloy_texto_citado,0.0
807,issue_1,bloy_texto_citado,0.0
811,issue_1,bloy_texto_citado,0.0
813,issue_1,bloy_texto_citado,0.0
814,issue_1,bloy_texto_citado,0.0
816,issue_1,bloy_texto_citado,0.0
817,issue_1,bloy_texto_citado,0.0
818,issue_1,bloy_texto_citado,0.0
819,issue_1,bloy_texto_citado,0.0
820,issue_1,bloy_texto_citado,0.0
823,issue_1,bloy_texto_citado,0.0
824,issue_1,bloy_texto_citado,0.0
825,issue_1,bloy_texto_citado,0.0
827,issue_1,bloy_texto_citado,0.0
828,issue_1,bloy_texto_citado,0.0
829,issue_1,bloy_texto_citado,0.0
830,issue_1,bloy_texto_citado,0.0
833,issue_1,bloy_texto_citado,0.0
835,issue_1,bloy_texto_citado,0.0
836,issue_1,bloy_texto_citado,0.0
837,issue_1,bloy_texto_citado,0.0
838,issue_1,bloy_texto_citado,0.0
839,issue_1,bloy_texto_citado,0.0
840,issue_1,bloy_texto_citado,0.0
842,issue_1,bloy_texto_citado,0.0
843,issue_1,bloy_texto_citado,0.0
844,issue_1,bloy_texto_citado,0.0
846,issue_1,bloy_texto_citado,0.0
848,issue_1,bloy_texto_citado,0.0
850,issue_1,bloy_texto_citado,0.0
860,issue_1,bloy_texto_citado,0.0
862,issue_1,bloy_texto_citado,0.0
864,issue_1,bloy_texto_citado,0.0
867,issue_1,zola_texto_citado,0.0
868,issue_1,zola_texto_citado,0.0
870,issue_1,zola_texto_citado,0.0
877,issue_1,zola_texto_citado,0.0
879,issue_1,zola_texto_citado,0.0
885,issue_1,zola_texto_citado,0.0
888,issue_1,zola_texto_citado,0.0
893,issue_1,zola_texto_citado,0.0
894,issue_1,zola_texto_citado,0.0
895,issue_1,zola_texto_citado,0.0
896,issue_1,zola_texto_citado,0.0
897,issue_1,zola_texto_citado,0.0
899,issue_1,zola_texto_citado,0.0
900,issue_1,zola_texto_citado,0.0
902,issue_1,zola_texto_citado,0.0
903,issue_1,zola_texto_citado,0.0
905,issue_1,zola_texto_citado,0.0
906,issue_1,zola_texto_citado,0.0
909,issue_1,zola_texto_citado,0.0
910,issue_1,zola_texto_citado,0.0
911,issue_1,,0.0
912,issue_1,,0.0
913,issue_1,,0.0
914,issue_1,,0.0
915,issue_1,,0.0
916,issue_1,,0.0
917,issue_1,,0.0
919,issue_1,,0.0
920,issue_1,,0.0
924,issue_1,,0.0
925,issue_1,,0.0
926,issue_1,,0.0
927,issue_1,,0.0
928,issue_1,,0.0
929,issue_1,,0.0
931,issue_1,,0.0
932,issue_1,,0.0
933,issue_1,,0.0
934,issue_1,,0.0
935,issue_1,,0.0
937,issue_1,,0.0
938,issue_1,,0.0
939,issue_1,,0.0
941,issue_1,,0.0
942,issue_1,,0.0
943,issue_1,,0.0
944,issue_1,,0.0
945,issue_1,,0.0
946,issue_1,,0.0
947,issue_1,,0.0
948,issue_1,,0.0
949,issue_1,,0.0
950,issue_1,,0.0
951,issue_1,,0.0
952,issue_1,,0.0
953,issue_1,,0.0
954,issue_1,,0.0
955,issue_1,,0.0
956,issue_1,,0.0
960,issue_1,,0.0
963,issue_1,,0.0
964,issue_1,,0.0
965,issue_1,,0.0
967,issue_1,,0.0
968,issue_1,,0.0
969,issue_1,,0.0
970,issue_1,,0.0
971,issue_1,,0.0
972,issue_1,,0.0
974,issue_1,,0.0
975,issue_1,,0.0
977,issue_1,,0.0
978,issue_1,,0.0
980,issue_1,,0.0
981,issue_1,,0.0
986,issue_1,,0.0
987,issue_1,,0.0
988,issue_1,,0.0
989,issue_1,,0.0
994,issue_1,,0.0
997,issue_1,,0.0
998,issue_1,,0.0
999,issue_1,,0.0
1000,issue_1,,0.0
1002,issue_1,,0.0
1003,issue_1,,0.0
1004,issue_1,,0.0
1006,issue_1,,0.0
1008,issue_1,,0.0
1009,issue_1,,0.0
1010,issue_1,,0.0
1011,issue_1,,0.0
1012,issue_1,,0.0
1014,issue_1,,0.0
1015,issue_1,,0.0
1016,issue_1,,0.0
1017,issue_1,,0.0
1021,issue_1,,0.0
1022,issue_1,,0.0
1023,issue_1,,0.0
1026,issue_1,,0.0
1027,issue_1,,0.0
1028,issue_1,,0.0
1029,issue_1,,0.0
1030,issue_1,,0.0
1033,issue_1,,0.0
1034,issue_1,,0.0
1035,issue_1,,0.0
1037,issue_1,,0.0
1038,issue_1,,0.0
1041,issue_1,,0.0
1044,issue_1,molloy_dario,0.0
1048,issue_1,molloy_dario,0.0
1049,issue_1,molloy_dario,0.0
1050,issue_1,molloy_dario,0.0
1051,issue_1,molloy_dario,0.0
1052,issue_1,molloy_dario,0.0
1053,issue_1,molloy_dario,0.0
1054,issue_1,molloy_dario,0.0
